Country,"Density
(P/Km2)",Land Area(Km2),Calling Code,Capital/Major City,GDP,Official language,Population,Urban_population,Latitude,Longitude
Lesotho,71,"30,355",266.0,Maseru,"$2,460,072,444 ",English,"2,125,268","607,508",-29.609988,28.233608
Liberia,53,"111,369",231.0,Monrovia,"$3,070,518,100 ",English,"4,937,374","2,548,426",6.428055,-9.429499
Libya,4,"1,759,540",218.0,,"$52,076,250,948 ",Arabic,"6,777,452","5,448,597",26.3351,17.228331
Liechtenstein,238,160,423.0,Vaduz,"$6,552,858,739 ",German,"38,019","5,464",47.1410392,9.520935
Lithuania,43,"65,300",370.0,Vilnius,"$54,219,315,600 ",Lithuanian,"2,786,844","1,891,013",55.169438,23.881275
Luxembourg,242,"2,586",352.0,Luxembourg City,"$71,104,919,108 ",Luxembourgish,"645,397","565,488",49.815273,6.129583
Madagascar,48,"587,041",261.0,Antananarivo,"$14,083,906,357 ",French,"26,969,307","10,210,849",-18.766947,46.869107
Malawi,203,"118,484",265.0,Lilongwe,"$7,666,704,427 ",English,"18,628,747","3,199,301",-13.254308,34.301525
Malaysia,99,"329,847",60.0,Kuala Lumpur,"$364,701,517,788 ",Malaysian language,"32,447,385","24,475,766",4.210484,101.975766
Maldives,"1,802",298,960.0,Mal�,"$5,729,248,472 ",Divehi,"530,953","213,645",3.202778,73.22068
Mali,17,"1,240,192",223.0,Bamako,"$17,510,141,171 ",French,"19,658,031","8,479,688",17.570692,-3.996166
Malta,"1,380",316,356.0,Valletta,"$14,786,156,563 ",Maltese,"502,653","475,902",35.937496,14.375416
Marshall Islands,329,181,692.0,Majuro,"$221,278,000 ",Marshallese,"58,791","45,514",7.131474,171.184478
Mauritania,5,"1,030,700",222.0,Nouakchott,"$7,593,752,450 ",Arabic,"4,525,696","2,466,821",21.00789,-10.940835
Mauritius,626,"2,040",230.0,Port Louis,"$14,180,444,557 ",French,"1,265,711","515,980",-20.348404,57.552152
Mexico,66,"1,964,375",52.0,Mexico City,"$1,258,286,717,125 ",None,"126,014,024","102,626,859",23.634501,-102.552784
Federated States of Micronesia,784,702,691.0,Palikir,"$401,932,279 ",English,"113,815","25,963",7.425554,150.550812
Moldova,123,"33,851",373.0,Chi����,"$11,955,435,457 ",Romanian,"2,657,637","1,135,502",47.411631,28.369885
Monaco,"26,337",2,377.0,Monaco City,"$7,184,844,193 ",French,"38,964","38,964",43.7384176,7.4246158
Mongolia,2,"1,564,116",976.0,Ulaanbaatar,"$13,852,850,259 ",Mongolian,"3,225,167","2,210,626",46.862496,103.846656
Montenegro,47,"13,812",382.0,Podgorica,"$5,494,736,901 ",Montenegrin language,"622,137","417,765",42.708678,19.37439
Morocco,83,"446,550",212.0,Rabat,"$118,725,279,596 ",Arabic,"36,910,560","22,975,026",31.791702,-7.09262
Mozambique,40,"799,380",258.0,Maputo,"$14,934,159,926 ",Portuguese,"30,366,036","11,092,106",-18.665695,35.529562
Myanmar,83,"676,578",95.0,Naypyidaw,"$76,085,852,617 ",Burmese,"54,045,420","16,674,093",21.916221,95.955974
Namibia,3,"824,292",264.0,Windhoek,"$12,366,527,719 ",English,"2,494,530","1,273,258",-22.95764,18.49041
Nauru,541,21,674.0,Yaren District,"$133,000,000 ",English,"10,084",,-0.522778,166.931503
Nepal,203,"147,181",977.0,Kathmandu,"$30,641,380,604 ",Nepali,"28,608,710","5,765,513",28.394857,84.124008
Netherlands,508,"41,543",31.0,Amsterdam,"$909,070,395,161 ",Dutch,"17,332,850","15,924,729",52.132633,5.291266
New Zealand,18,"268,838",64.0,Wellington,"$206,928,765,544 ",English,"4,841,000","4,258,860",-40.900557,174.885971
Nicaragua,55,"130,370",505.0,Managua,"$12,520,915,291 ",Spanish,"6,545,502","3,846,137",12.865416,-85.207229
Niger,19,"1,267,000",227.0,Niamey,"$12,928,145,120 ",French,"23,310,715","3,850,231",17.607789,8.081666
Nigeria,226,"923,768",234.0,Abuja,"$448,120,428,859 ",English,"200,963,599","102,806,948",9.081999,8.675277
